name,location,bytes,locs,clocs,elocs,declarations,classes,interfaces,types,methods,fields,methodInvocations,fieldAccesses,extends,implements
aoi,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/aoi|,13353397,131904,22678,109226,38650,581,33,614,7096,4815,29590,26795,479,233
sablecc,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/sablecc|,1202055,30378,2010,28368,9085,237,5,242,2194,517,6779,2176,184,55
weka,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/weka|,19484050,377877,158497,219380,67067,1131,138,1269,16674,7429,61169,28858,1053,1813
marauroa,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/marauroa|,4313886,26370,12588,13782,5342,180,13,193,1451,547,4278,2183,93,36
ganttproject,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/ganttproject|,19731038,56459,9508,46951,18400,596,115,711,5423,2587,16001,8056,462,468
jfreechart,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jfreechart|,10884637,198359,107285,91074,33566,504,103,607,8425,2795,22327,13470,373,867
displaytag,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/displaytag|,11188981,20222,8390,11832,3476,112,16,128,996,583,2637,1682,59,41
quilt,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/quilt|,3188434,8759,3081,5678,2236,66,8,74,643,293,1683,991,26,23
itext,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/itext|,9088730,128772,57246,71526,27891,492,38,530,5798,4776,17932,14022,216,121
roller,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/roller|,84829869,80217,27080,53137,19839,544,75,619,5671,2212,16899,6624,247,206
