text,cached
"10,1000.008185,0.141126,0.008970,0.009114,0.167395,0.000000,1.878102,108852.179555,9.022873",false
"1000,1000.034972,13.316039,0.031705,0.022518,13.405235,0.000000,0.076635,65495394.963298,220.106047",false
"10000,1000.201501,598.457652,0.221237,0.107696,598.988085,0.000000,0.008916,5706711912.973466,11630.198679",false
